group,Communist,Conservative,Independent,Liberal,Libertarian,Socialist,Other,Unsure
"Yes", 1.79, 32.14, 32.14, 4.46, 1.79, 22.32, 5.36, 14.34
"No", 1.85, 10.51, 47.14, 2.63, 5.56, 29.83, 2.47
Unsure, 4.55, 27.27, 27.27, 0, 13.64, 22.73, 4.55
