group,Communist,Conservative,Independent,Liberal,Libertarian,Socialist,Other,Unsure
"Yes", 0, 10.9, 0.73, 54, 2.92, 5.84, 3.65, 21.9
"No", 1.76, 14.8, 0.704, 42.5, 2.81, 5.27, 1.759, 30.4
