label,value
Al Jazeera,4
AP,11
BBC,20
Buzzfeed,1
CNBC,4
CNN,57
Daily Mail,3
Financial Times,9
Forbes,2
Fox News,7
New York Post,5
NPR,8
The Guardian,4
The Intercept,0
The New York Times,327
The Wall Street Journal,30
The Washington Post,12
Vox Media,2
Social Media, 198
Not applicable (I don't read the news),53
Other (please specify),25
