group,"$1,000,000 or more","$500,000 to $999,999","$250,000 to $499,999","$150,000 to $249,999","$100,000 to $149,999","$60,000 to $99,999","$35,000 to $59,999","$34,999 or less",Unsure
Yes, 23.21, 16.96, 13.39, 7.14, 10.71, 7.14, 0.89, 1.79, 18.75
No, 17.26, 15.55, 15.71, 12.29, 6.69, 4.35, 2.49, 1.71, 23.95
Unsure, 4.55, 13.64, 18.18, 0, 9.09, 0, 4.55, 9.09, 40.91
