group,Asian, Black, "Indegenous Peoples of the Americas", "Latine/Hispanic", "Native Hawaiian/Pasific Islander". White
Yes, 40.75, 17.41, 1.62, 11.67, 0.72, 49.91
No, 51.66, 2.37, 0.95, 4.74, 0, 51.18
