label,value
African American,79
Asian American,238
Broadly European,164
East Asian,157
East European,97
Ethnically Jewish,59
Hispanic,89
Latine,88
Mediterranean,39
Middle Eastern,40
Native American,13
North African,7
Pacific Islander,9
Scandinavian,43
South Asian,50
Southeast Asian,36
Sub-Saharan African,25
West Indian/Caribbean,31
West European,190
Other,19
