label,value
"$1,000,000 or more",128
"$500,000 to $999,999",153
"$250,000 to $499,999",150
"$150,000 to $249,999",107
"$100,000 to $149,999",68
"$60,000 to $99,999",48
"$35,000 to $59,999",23
"$34,999 or less",33
Unsure,211
