group,Upper class,Upper-middle class,Middle class,Lower-middle class,Lower class
"$1,000,000 or more",79.5,19.2,0.685,0.685,0
"$500,000 to $999,999",53.1,44.6,2.31,0,0
"$250,000 to $499,999",24.4,66.1,8.66,0.787,0
"$150,000 to $249,999",5.32,47.9,43.6,3.19,0
"$100,000 to $149,999",1.67,28.3,58.3,11.7,0
"$60,000 to $99,999",2.33,9.3,34.9,48.8,4.65
"$35,000 to $59,999",0,5,20,45,30
"$34,999 or less",0,0,0,16.7,83.3
Unsure, 20.8,55.9,16.3,6.44,0.495
