group,"$1,000,000 or more","$500,000 to $999,999","$250,000 to $499,999","$150,000 to $249,999","$100,000 to $149,999","$60,000 to $99,999","$35,000 to $59,999","$34,999 or less",Unsure
Varsity,71,60,57,39,18,15,5,4,63
Not Varsity,52,52,52,43,28,17,12,10,101
