label,value
"$1,000,000 or more",146
"$500,000 to $999,999",130
"$250,000 to $499,999",127
"$150,000 to $249,999",94
"$100,000 to $149,999",60
"$60,000 to $99,999",43
"$35,000 to $59,999",20
"$34,999 or less",18
Unsure,205
