group,Asian,Black,"Latine/Hispanic","Indigenous Peoples of the Americas","Native Hawaiian","White (Including Middle Eastern/North African)"
Varsity,35.3,9.89,9.28, 17.9, 0, 59.6
Not Varsity,49.8,14.8,9.7,1.07,1.34,43.1
