group,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0,3.8
Varsity Athlete,28,57,64,60,32,29,19,5,2,4,2,1
Non-Varsity Athlete,63,76,57,57,37,36,22,7,4,1,5,3
