label,value
"Art",235
"Computer Science",55
"English",639
"History and Social Science",526
"Mathematics",259
"Music",75
"Natural Sciences",225
"Philosophy and Religious Studies",222
"Physical Education",27
"Statistics",45
"Theatre and Dance",42
"World Languages",277
"Not applicable (Does not exist)",36
