label,value
Dean's Letter,114
Cluster Community Conference,27
Centralized Community Conference,15
Growth and Accountability Plan (GAP),47
Second Growth and Accountability Plan (GAP2),6
Suspension,3
Censure,25
Warning,42
Probation,4
None,520
