group,"6.0","5.8","5.6","5.4","5.2","5.0"
"Yes, always",9,12,20,19,31,12
"Yes, regularly",14,33,37,20,22,16
"Yes, sometimes",43,80,70,49,27,28
"Never",39,28,29,19,20,13
